OBJECTID_1,CSA2010,hcvhouse14,hcvhouse15,hcvhouse16,hcvhouse17,hcvhouse18,hcvhouse19,Shape__Area,Shape__Length
22,Greater Roland Park/Poplar Hill,5.931198102,4.22832981,1.024590164,5.096839959,5.681818182,5.5005500550055,56688145.1775513,39862.7497952043
23,Greater Rosemont,245.4136379,228.1651997,207.85648,194.8963317,179.6100991,164.838709677419,42204384.5395508,32559.0762210022
24,Greenmount East,158.3869082,159.7733711,168.8760807,138.7024609,131.7047265,135.399673735726,19072287.8234253,20797.4734579241
25,Hamilton,172.4137931,194.9685535,192.2054916,189.6853147,169.5473251,168.060200668896,45191100.5600586,27712.1110915758
26,Harbor East/Little Italy,49.96989765,55.22208884,54.97861943,61.95786865,66.41837368,65.0406504065041,10215859.0839233,18552.4075815395
27,Harford/Echodale,120.4379562,119.2077728,113.8301817,105.0497604,100.3759398,101.132075471698,65360039.1699219,40019.1854001709
28,Highlandtown,66.13756614,60.44678055,57.01754386,50.97806758,47.59071981,39.6308360477742,11684191.1183472,14976.1238513181
29,Howard Park/West Arlington,149.7710922,168.0608365,169.8924731,174.1697417,185.7968621,186.634066829666,63262430.0732422,36034.4984469542
30,Inner Harbor/Federal Hill,59.51417004,42.86964129,41.19318182,46.62333993,49.00459418,47.0059880239521,24995836.2617188,43415.0595480129
31,Lauraville,198.3385254,181.0945274,181.4708691,204.9261084,201.2779553,203.862660944206,49665744.2380981,34419.6765279126
32,Loch Raven,91.26088359,88.38928241,77.16049383,75.26270946,74.38016529,77.2335844994618,44147812.3262329,29314.3346716869
33,Madison/East End,328.8159772,300.0697837,301.4084507,291.7547569,282.9341317,270.386266094421,8897845.19134521,13120.1587193706
34,Medfield/Hampden/Woodberry/Remington,21.54724818,19.02104996,20.8113804,21.63253533,33.44575604,32.1438300190684,62441489.2391968,43152.6256993044
35,Midtown,76.55502392,67.8107995,69.4629976,94.06215316,91.12676056,99.6163332419841,23823949.9293823,25020.0969697152
36,Midway/Coldstream,184.5070423,165.8955717,193.3784801,229.3165468,173.7509321,153.133903133903,17884471.2858276,22767.8274161928
37,Morrell Park/Violetville,123.4652115,142.557652,153.4755678,173.0486009,149.0352628,154.107264086897,67470845.9886475,44412.7451302994
38,Mount Washington/Coldspring,61.01694915,16.66666667,13.54166667,16.80672269,19.14893617,16.1117078410312,56943058.6503296,38539.7661484657
39,North Baltimore/Guilford/Homeland,42.38833181,40.24496938,43.97705545,43.00543747,47.36063148,55.9036144578313,74923987.6956787,42904.2221443014
40,Northwood,146.4577657,135.7786358,128.6831028,121.3054187,110.1944608,109.493302271404,52743271.7686768,38889.8945907607
41,Oldtown/Middle East,80.52101835,93.43361296,90.74889868,80.10189641,83.69160218,85.2713178294574,24585968.2338257,23866.3281788792
42,Orangeville/East Highlandtown,102.7795734,79.35560859,85.31746032,70.64868337,73.46128392,69.9588477366255,89894372.211731,47825.862926498
43,Patterson Park North & East,260.3576101,245.522062,233.895374,238.0952381,218.8841202,216.48460774578,14507643.2045898,21786.3746600472
44,Penn North/Reservoir Hill,195.748731,203.196347,196.4701965,188.5359116,167.2083785,185.395384033296,41059796.6775513,29078.838498563
45,Pimlico/Arlington/Hilltop,178.2945736,165.8222018,162.4940954,168.0113906,173.1343284,174.131857070961,30400962.005127,24725.9340692696
46,Poppleton/The Terraces/Hollins Market,83.97397989,72.47191011,73.19757843,74.33628319,72.79457125,68.5920577617329,9302012.9989624,12334.0275347987
47,Sandtown-Winchester/Harlem Park,78.12971342,81.17180348,84.20056764,88.97876643,81.93922841,78.0881857960283,23672092.8683472,20987.1433065928
48,South Baltimore,14.42307692,7.692307692,8.086253369,7.712082262,5.598320504,6.24133148404993,46353935.4252319,68440.0258268834
49,Southeastern,106.1403509,113.4215501,101.3986014,92.06081081,135.9223301,127.641589180051,111251478.4729,102291.480548125
50,Southern Park Heights,158.0188679,156.3249914,139.1156463,132.1933574,123.504688,117.587939698492,27876227.5904541,24052.2213721285
51,Southwest Baltimore,139.2156863,134.8692105,120.3989551,114.4681896,105.4472764,101.2925349512,37766068.8363647,28355.5635814235
52,The Waverlies,182.8793774,198.6428131,171.3967724,156.8519538,143.495254,145.577395577396,20383750.5446777,18733.826879793
53,Upton/Druid Heights,117.9164282,120.6320267,106.8258341,99.03593339,105.2804198,114.467942262504,16976622.3378906,19389.3078211672
54,Washington Village/Pigtown,276.0683761,294.2254812,256.0777958,268.3333333,250.8143322,285.714285714286,39343262.0380249,36962.2600945934
55,Westport/Mount Winans/Lakeland,119.133574,107.9295154,98.11046512,90.05763689,83.15412186,76.0947595118449,45494092.9498291,42573.124416343
