OBJECTID,CSA2010,resrehab10,resrehab11,resrehab12,resrehab13,resrehab14,resrehab15,resrehab16,resrehab17,resrehab18,resrehab19,resrehab20,CSA2020,resrehab21,Shape__Area,Shape__Length
18,Glen-Fallstaff,2.74,1.19,2.11668928086839,2.76722734671731,2.15111589136865,2.76956171013713,3.00568643379366,3.25115144947168,3.71173123814684,2.95670538542766,3.441734417,Glen-Fallstaff,3.929539295,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,2.69,2.86,4.14634146341463,4.16892257715214,2.90681879923934,5.16164085846237,4.26325606181721,5.69603406973649,7.23981900452489,6.86170212765957,6.213333333,Greater Charles Village/Barclay,5.463752665,27051213.4559937,26454.2692113332
20,Greater Govans,1.51,1.39,2.03862660944206,2.06489675516224,2.57303671937818,2.57303671937818,3.29581993569131,4.23138725227637,5.00803427959293,5.13283466597885,5.740343348,Greater Govans,4.211373391,22698495.7178955,22982.125714974
21,Greater Mondawmin,1.31,1.8,1.51515151515152,1.42690739662202,1.82926829268293,1.53890824622532,2.02049780380673,2.63543191800878,3.63103953147877,4.11880078453348,4.272753878,Greater Mondawmin,6.116476441,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,3.56,3.68,5.26315789473684,4.96195831955012,4.53192193185577,4.23420443268277,4.23700761337305,4.63422707712677,5.09764978483946,6.02178090967328,5.544554455,Greater Roland Park/Poplar Hill,5.907590759,56688145.1790161,39862.7497953117
23,Greater Rosemont,2.01,1.44,1.51620531367367,1.64712451144612,1.12154773587551,1.40193466984439,0.827257431295569,1.71589310829817,2.16596343178622,3.31024930747922,3.926812104,Greater Rosemont,5.572755418,42204384.5406494,32559.0762211492
24,Greenmount East,2.93,2.06,2.95639320029564,3.63547040039302,1.68786692759295,2.20156555772994,2.3377269335986,4.14803775459513,3.60158966716344,4.89281210592686,5.767771313,Oliver/Johnson Square,6.678472047,19072287.8240967,20797.4734578598
25,Hamilton,1.9,2.24,1.96886446886447,2.08333333333333,2.84142988084326,4.14757103574702,4.62242562929061,4.87972508591065,5.42955326460481,4.17607223476297,4.411764706,Hamilton,3.975183824,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,1.44,1.57,1.41592920353982,1.76991150442478,3.76914016489988,2.47349823321555,2.08333333333333,3.76157407407407,3.99305555555556,2.96254891000558,3.077783996,Harbor East/Little Italy,2.460850112,10215859.0836182,18552.4075815937
27,Harford/Echodale,1.89,1.86,2.06063007727363,2.13692125049466,2.45544554455446,3.58415841584158,4.85629335976214,5.10789942585626,5.0287071866957,4.69321023273706,4.518547751,Hamilton Hills,4.695206155,65360039.1698608,40019.1854001996
28,Highlandtown,4.36,4.7,6.0290404040404,8.20448090880404,6.04173154780442,6.25973217066334,8.328173374613,13.739987677141,10.4128157732594,8.72894333843797,8.148148148,Highlandtown,5.648148148,11684191.1186523,14976.1238513698
