OBJECTID,CSA2010,cashsa11,cashsa12,cashsa13,cashsa14,cashsa15,cashsa16,cashsa17,cashsa18,cashsa19,cashsa20,CSA2020,cashsa21,Shape__Area,Shape__Length
20,Greater Govans,69.23,61.66666667,67.39130435,66.055,73.27586207,60.95890411,59.39086294,43.4482758620689,43.4523809523809,33.5294117647058,Greater Govans,32.30088496,22698495.7178955,22982.125714974
21,Greater Mondawmin,74.14,82.35294118,70.3125,68.1159,65.06024096,68.49315068,58.33333333,51.937984496124,48.4126984126984,38.4,Greater Mondawmin,41.35338346,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,33.33,28.20512821,25.22522523,34.1463,35.33834586,27.55905512,32.33532934,20.9790209790209,22.2222222222222,28.6666666666666,Greater Roland Park/Poplar Hill,32,56688145.1790161,39862.7497953117
23,Greater Rosemont,86.52,87.20930233,93.47826087,88.7574,88.83248731,87.79069767,85.71428571,75.4545454545454,77.433628318584,74.1818181818181,Greater Rosemont,55.44554455,42204384.5406494,32559.0762211492
24,Greenmount East,88.64,74.28571429,63.04347826,58.3333,81.39534884,76.71232877,75.93984962,72.9729729729729,73.5294117647058,71.1711711711711,Oliver/Johnson Square,55.31914894,19072287.8240967,20797.4734578598
25,Hamilton,41.6,28.78787879,30.07518797,35.8696,39.65517241,32.0610687,21.79104478,22.0833333333333,22.0883534136546,15.4761904761904,Hamilton,17.06349206,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,43.75,42.10526316,53.65853659,44.0678,40,41.50943396,38.23529412,41.9354838709677,47.2727272727272,23.6363636363636,Harbor East/Little Italy,35.16483516,10215859.0836182,18552.4075815937
27,Harford/Echodale,30.67,25.78616352,27.11864407,30.9524,30.71428571,30.10033445,25.74525745,23.9285714285714,16.6666666666666,10.8910891089108,Hamilton Hills,13.79310345,65360039.1698608,40019.1854001996
28,Highlandtown,31.17,25.90673575,24.24242424,21.6981,20.96069869,12.55230126,20,15,25.2,9.18727915194346,Highlandtown,12.46458924,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,53.62,39.43661972,53.24675325,44.1176,41.32231405,46.32352941,39.02439024,25.7485029940119,25.3424657534246,19.4968553459119,Howard Park/West Arlington,16.31205674,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,21.61,26.34920635,24.17582418,22.069,22.28571429,17.72853186,21.86147186,17.7018633540372,22.5071225071225,14.3187066974595,Inner Harbor/Federal Hill,15.11111111,24995836.2615967,43415.0595478862
31,Lauraville,46.67,38.68613139,37.05882353,32.4324,35.1758794,36.07305936,23.50746269,24.5901639344262,25.3456221198156,22.1757322175732,Greater Lauraville,20.77922078,49665744.2354736,34419.676527973
32,Loch Raven,36,40.78947368,25,43.3962,39.28571429,31.67701863,28.1938326,19.3333333333333,18.6567164179104,18.0722891566265,Loch Raven,18.23529412,44147812.3265381,29314.3346718286
33,Madison/East End,93.94,94,85.33333333,87.013,93.33333333,87.73584906,81.86528497,70.4225352112676,75.5813953488372,68.2758620689655,Madison/East End,49.44444444,8897845.19189453,13120.1587193642
