OBJECTID,CSA2010,affordr10,affordr11,affordr12,affordr13,affordr14,affordr15,affordr16,affordr17,affordr18,affordr19,CSA2020,affordr20,affordr21,affordr22,Shape__Area,Shape__Length
16,Fells Point,50.9281294621609,43.32892998679,33.167701863354,31.5147625160462,34.5469,32.3088743757203,33.2908704883227,35.5657237936772,35.4446854663774,34.18947368,Fells Point,35.29411765,40.5704698,34.8798397863818,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,62.4772313296903,65.3735632183908,43.0474604496253,40.8236347358997,58.2241,53.8784067085954,52.7289985761747,54.2471042471042,59.3028732925106,61.11380145,Forest Park/Walbrook,53.83005442,55.28826213,54.1595925297114,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,55.1217988757027,51.2828535669587,50.8420573509331,47.2272727272727,46.7638,50.2619324796275,53.0606717226435,54.1485900216919,54.0508920737057,54.83409611,Glen-Fallstaff,53.20300752,56.6236413,54.5049674546077,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,47.7872150201162,49.4408602150538,31.7504655493482,37.1818181818182,51.4041,52.0534290271132,54.19831656744,49.7827031725336,47.9299014238773,45.95696489,Greater Charles Village/Barclay,49.20634921,48.87031179,52.5040387722132,27051213.4559937,26454.2692113332
20,Greater Govans,61.7283950617284,64.2818428184282,40.1095556908095,41.8798334324807,50.7448,51.8896833503575,48.4962406015038,54.1331802525832,56.2008469449485,62.28936665,Greater Govans,59.04477612,56.68789809,50.2342529932327,22698495.7178955,22982.125714974
21,Greater Mondawmin,46.8797564687976,58.5591539986781,32.3984526112186,31.4741035856574,63.4806,58.8028169014084,57.421875,54.1766109785202,49.0875912408759,49.57264957,Greater Mondawmin,52.64857881,51.13268608,52.9765484064943,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,43.8862559241706,48.7320837927233,29.5282469423413,34.6830985915493,43.5417,36.2579281183932,35.8606557377049,40.4689092762487,35.7954545454545,40.1540154,Greater Roland Park/Poplar Hill,50,42.77180406,42.5400739827374,56688145.1790161,39862.7497953117
23,Greater Rosemont,64.8142058533377,67.7344010677344,48.6721144024515,48.3957219251337,58.8093,57.6506431956669,55.3665326322301,50.7177033492822,47.2355385107063,50.06451613,Greater Rosemont,50.51546392,55.10540184,62.0485678704857,42204384.5406494,32559.0762211492
24,Greenmount East,60.388945752303,63.7829124126814,42.8785607196402,48.0337078651685,55.3478,56.1473087818697,53.8328530259366,56.8232662192393,60.8603292618162,54.43175639,Oliver/Johnson Square,54.20835786,58.1408776,57.7868852459016,19072287.8240967,20797.4734578598
25,Hamilton,54.3711656441718,49.7491638795987,40.4569892473118,42.6086956521739,53.7069,53.0098831985624,50.5757307351639,45.6293706293706,43.4567901234567,40.55183946,Hamilton,31.13069016,37.21311475,45.6561922365989,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,59.8721023181455,60.3328710124827,31.3432835820896,34.4387755102041,44.7923,42.3769507803121,37.202199144777,38.723667905824,41.4028553693358,41.90118824,Harbor East/Little Italy,30.5952381,29.16392363,21.8476062036413,10215859.0836182,18552.4075815937
27,Harford/Echodale,58.1104400345125,57.3743248857499,36.7092651757189,35.141065830721,46.4599,45.8893871449925,45.1612903225806,44.0840398083302,43.4962406015037,42.41509434,Hamilton Hills,40.28917546,39.17565485,41.8648546621367,65360039.1698608,40019.1854001996
28,Highlandtown,40.3065825067629,41.2723041117145,36.1777777777778,26.6386554621849,45.0397,52.9566360052562,52.6942355889724,48.0142264374629,45.1516954193932,38.76221498,Highlandtown,32.96314992,32.05451792,30.0692383778437,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,62.3415811707906,67.5392670157068,61.2103746397694,52.4188609920392,63.9634,61.3688212927757,52.6881720430108,50.110701107011,43.8480594549958,59.41320293,Howard Park/West Arlington,71.25103563,59.49263502,55.3613979348689,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,39.1073326248672,46.7536704730832,27.3323053199692,28.8393903868699,46.201,50.6270049577136,45.5965909090909,42.4131110483187,36.1715160796324,34.22155689,Inner Harbor/Federal Hill,38.4021384,40.07959068,43.3064516129032,24995836.2615967,43415.0595478862
31,Lauraville,57.0719602977667,58.80195599022,43.2883750802826,40.4233870967742,52.8557,50.1492537313433,45.6542502387775,39.8029556650246,40.1490947816826,37.33905579,Greater Lauraville,34.65346535,39.69375736,44.5812807881773,49665744.2354736,34419.676527973
32,Loch Raven,48.2513153822346,50.5622052956112,40.4187366926898,40.9256559766764,50.6933,50.0769941484447,47.6711560044893,43.1979551263845,43.7741046831955,46.87836383,Loch Raven,42.56198347,48.56873231,47.0730862487011,44147812.3265381,29314.3346718286
33,Madison/East End,57.9739904175222,58.1612258494337,34.8557692307692,31.5165876777251,64.1227,66.2944870900209,60.0704225352113,58.491895701198,57.1107784431137,56.93848355,Madison/East End,55.43568465,55.41601256,47.5578406169666,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,45.1796919566458,47.1594202898551,30.9685779073534,28.7924655230407,43.3281,44.4331727111337,41.3066385669125,38.8520334583213,41.5964024732996,40.3977118,Hampden/Remington,39.53618329,40.27814924,41.588785046729,62441489.2398071,43152.625699222
35,Midtown,46.8858131487889,47.2123000465911,30.2614379084967,28.9650037230082,44.2221,43.4072833821683,43.2273577344376,43.6736958934517,43.6197183098591,42.2718553,Midtown,38.52182138,39.02804247,39.0287277701778,23823949.9294434,25020.0969698082
36,Midway/Coldstream,70.0977198697068,74.142940151075,32.1888412017167,35.6060606060606,64.3662,62.2604097818903,60.8728367193379,57.7338129496402,56.0029828486204,59.11680912,Midway/Coldstream,54.0673788,53.87263339,56.0382916053019,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,40.674318507891,44.1704035874439,35.7750163505559,38.7540983606557,46.9986,54.7868623340322,52.4432209222299,52.9455081001472,56.1543579507651,53.9035981,Morrell Park/Violetville,47.1250741,51.28348214,47.254004576659,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,47.7085781433608,48.3480176211454,26.0461144321093,26.6666666666667,33.7102,32.7083333333333,35.9375,35.6092436974789,38.7234042553191,45.00537057,Mount Washington/Coldspring,45.22222222,42.63565891,48.6766398158803,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,51.7312448474856,54.0776275621457,34.2680262199563,32.1626617375231,54.3756,53.4995625546807,54.5889101338432,56.0553633217993,52.491366551554,49.15662651,North Baltimore/Guilford/Homeland,47.76119403,38.70517,35.8759842519685,74923987.6937256,42904.2221443544
40,Northwood,55.4461538461538,53.97946084724,37.8057553956835,36.2954630671166,51.0218,52.3166023166023,57.4263379434756,55.5418719211822,55.8043606364172,53.81479324,Northwood,55.1607445,46.67495339,38.6323787258913,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,41.8996295048838,44.4900536785602,45.7894736842105,45.2054794520548,44.3162,43.6216372577379,43.3186490455213,42.9380130200962,44.1960447119518,43.77076412,Oldtown/Middle East,48.27311371,50.4354711,49.3340581679804,24585968.2341919,23866.3281788863
