OBJECTID,CSA2010,empl10,empl11,empl12,empl13,empl14,empl15,empl16,empl17,empl18,empl19,CSA2020,empl20,empl21,Shape__Area,Shape__Length
11,Cross-Country/Cheswolde,62.2666666666667,61.5275526742301,73.0272017236736,70.602773582315,66.8937,68.2675601886324,70.4972516937236,68.3219645293315,69.9690002583311,71.71263631,Cross-Country/Cheswolde,72.96602912,70.86756719,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,59.8,55.4548296342607,62.351072279587,64.1426282051282,65.552,66.7626491155903,67.9439637412443,69.9089403973509,67.8090103966114,68.69857891,Dickeyville/Franklintown,73.51734427,77.92543374,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,51.85,51.7853457172343,60.3952463613299,55.1512728242037,54.3324,54.3066088840737,56.6986301369863,56.3026409707351,57.0667818077144,61.44160349,Dorchester/Ashburton,67.09593573,64.46712556,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,49.3666666666667,54.6823610870694,61.5767176275557,63.9942734430923,61.7037,66.1096507698085,65.1552575864502,65.1753940010167,66.9789612097304,71.03210321,Downtown/Seton Hill,72.07362669,72.25173682,20736554.4064941,21565.859394559
15,Edmondson Village,55.1,51.5197152245345,60.2452461347077,57.9891933616364,61.6771,63.5083226632522,67.259083728278,66.9348508634222,68.295713398219,66.15993336,Edmondson Village,70.07475814,65.04876916,23563061.0443115,21504.551357829
16,Fells Point,73.425,74.1811399930062,81.449311328949,80.8217492926559,81.9372,81.8329177057357,83.7224300270863,84.5994026749772,85.2313624678663,87.91826659,Fells Point,86.41219385,85.42297066,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,51.0666666666667,48.9515250544662,58.515130190007,57.6541459957477,57.0506,58.5268745852688,59.4719261969143,59.3940316686967,61.1550742746078,62.93818182,Forest Park/Walbrook,63.83233533,65.65372072,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,56.7,53.1224389444353,64.0546289040636,65.0383528461849,63.0732,59.2002290513457,62.0358322490241,62.1929362150764,63.0605738575983,61.75063953,Glen-Fallstaff,67.23994781,66.04991928,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,52.12,50.322407307899,52.3500218946139,50.4967766401214,49.4254,49.978229317852,50.7077558242406,52.188402577205,55.0944476244991,58.75486381,Greater Charles Village/Barclay,57.21501282,58.62539097,27051213.4559937,26454.2692113332
20,Greater Govans,53.4333333333333,51.9151376146789,57.6172404445649,60.4338698390483,57.7262,56.3410151279514,58.5199185809828,59.9227569815805,60.1924500370096,59.88909427,Greater Govans,62.38844718,64.64712625,22698495.7178955,22982.125714974
21,Greater Mondawmin,51.525,45.9779847586791,55.1724137931034,48.7451737451737,49.0454,48.6684317084566,49.7951752389622,52.220107833809,53.3951086130943,54.51572719,Greater Mondawmin,57.82877604,58.93793337,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,67.3666666666667,69.2913385826772,77.7464788732394,77.0548687920191,76.81,71.5180306629238,71.0470984020185,71.0747271200671,71.2636020430823,73.78619154,Greater Roland Park/Poplar Hill,77.35894358,72.96222664,56688145.1790161,39862.7497953117
23,Greater Rosemont,44.7,43.4572743042462,49.2896276348779,48.5703282949841,50.6338,51.5859284890427,51.2508999280058,52.4517341534255,52.6059882282692,51.23091856,Greater Rosemont,50.17129806,48.75686148,42204384.5406494,32559.0762211492
24,Greenmount East,42.225,38.6615384615385,46.0093023255814,46.0756634669678,42.9816,46.594767325744,46.9819908964971,47.5290697674418,46.6257668711656,49.46401225,Oliver/Johnson Square,48.93135529,50.47196002,19072287.8240967,20797.4734578598
25,Hamilton,62.4666666666667,65.2712882616573,75.288950531669,74.7797120137546,75.4272,75.8061002178649,74.3426036143275,72.5933719095213,73.7263065629451,72.87190802,Hamilton,71.03366804,70.42402827,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,57.8,59.0223463687151,59.8878853939583,59.2592592592593,60.6341,55.7792515395547,58.9053803339518,61.3641672506423,59.6035360300026,59.10735826,Harbor East/Little Italy,67.66256591,70.94200675,10215859.0836182,18552.4075815937
27,Harford/Echodale,66.3,65.5288067377208,73.1705158835501,72.1375670383928,73.679,73.1696348264076,74.5803137326851,74.3920904961254,74.3908898305084,73.85289569,Hamilton Hills,77.64953742,76.94145759,65360039.1698608,40019.1854001996
28,Highlandtown,69.5333333333333,68.6339522546419,77.885478370131,77.3983181740175,76.334,78.2979495554346,79.1184573002755,82.1447073044379,84.2809946096331,86.568414,Highlandtown,87.09626094,86.59366185,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,49.55,49.0757956906923,60.9059711736445,59.0858104318564,60.3909,57.0893700146508,60.3678929765886,60.5665722379603,58.5616438356164,57.97302933,Howard Park/West Arlington,58.9693155,55.72070947,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,73.7,69.8030829546467,79.6024560308045,79.1495601173021,77.523,79.803619561032,82.4657789365863,82.0865233834517,82.4114720515071,84.62222222,Inner Harbor/Federal Hill,84.36996455,85.56330355,24995836.2615967,43415.0595478862
31,Lauraville,63.42,64.4634120953471,66.4621194241208,66.6901243255923,67.7235,68.4780105917569,67.1002838221381,70.0097252613664,70.6196840826245,73.69586614,Greater Lauraville,68.42417765,67.83309283,49665744.2354736,34419.676527973
32,Loch Raven,59,62.1368471185903,66.0692212608158,64.1345728198318,65.5608,63.9590038963239,63.8614718614719,66.3645079752462,67.23641430562,66.47965006,Loch Raven,71.28256513,73.39341693,44147812.3265381,29314.3346718286
