OBJECTID,CSA2010,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,ownroc15,ownroc16,ownroc17,ownroc18,ownroc19,ownroc20,Shape__Area,Shape__Length
34,Medfield/Hampden/Woodberry/Remington,69,64.48,67.34542212,66.81488069,64.75770925,64.75770925,63.79662005,64.33668269,64.33668269,65.24150007,65.24150007,62441489.2410889,43152.6256992199
35,Midtown,42,41.65,41.53308073,41.97674419,41.12176693,41.12176693,40.77474892,40.77780955,40.77780955,40.33180778,40.33180778,23823949.9293213,25020.0969697781
36,Midway/Coldstream,41,39.24,38.88219706,37.68081003,36.44973288,36.44973288,34.4785575,33.56968215,33.56968215,30.32401682,30.32401682,17884471.2860718,22767.8274161691
37,Morrell Park/Violetville,77,71.31,72.56581034,71.08433735,67.81864299,67.81864299,65.15391939,63.92766497,63.92766497,59.89220038,59.89220038,67470845.9886475,44412.7451302931
38,Mount Washington/Coldspring,84,80.88,83.30596606,82.86808976,82.02185792,82.02185792,81.74904943,81.80336773,81.80336773,79.73927213,79.73927213,56943058.6503296,38539.7661484923
39,North Baltimore/Guilford/Homeland,76,74.53,75.73197092,75.49096622,74.72031403,74.72031403,74.59851156,74.47600392,74.47600392,73.60266719,73.60266719,74923987.6934814,42904.2221443837
40,Northwood,84,82.46,82.65153138,82.02271266,80.43711163,80.43711163,79.22829582,79.23192448,79.23192448,76.56283566,76.56283566,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,41,39.18,39.3006993,38.68512111,37.35823883,37.35823883,37.9423329,35.89138135,35.89138135,35.21457966,35.21457966,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,57,53.87,52.52413793,52.46896552,49.9737257,49.9737257,51.1041829,49.15765653,49.15765653,47.8972551,47.8972551,89894372.2116089,47825.8629265765
43,Patterson Park North & East,49,47.33,47.14577764,47.10133543,46.82452564,46.82452564,46.9888941,47.55277561,47.55277561,47.68845009,47.68845009,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,39,38.21,37.18120805,36.16236162,35.69034853,35.69034853,35.09471585,34.59747172,34.59747172,32.48747913,32.48747913,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,56,54.49,54.11167513,53.06381897,51.85185185,51.85185185,50.1159495,49.39386123,49.39386123,44.29824561,44.29824561,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,33,31.16,30.82542001,30.82542001,30.30080704,30.30080704,29.42039618,29.35578331,29.35578331,27.76141384,27.76141384,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,33,31.38,31.0214168,30.75527704,30.29552584,30.29552584,28.8914703,28.20937552,28.20937552,25.65173797,25.65173797,23672092.8682861,20987.1433066415
48,South Baltimore,71,70.01,69.82809721,70.41209606,70.94774136,70.94774136,71.67344567,71.88498403,71.88498403,70.40371769,70.40371769,46353935.4257813,68440.0258267645
49,Southeastern,69,62.77,65.49450549,65.17467249,63.13489896,63.13489896,59.63103635,60.32786885,60.32786885,54.1959935,54.1959935,111251478.473084,102291.480547452
50,Southern Park Heights,48,45.95,46.05591613,45.11127782,44.11838475,44.11838475,42.36855539,41.66666667,41.66666667,38.94601542,38.94601542,27876227.5906372,24052.2213722085
51,Southwest Baltimore,29,27.16,26.49811596,26.10441767,25.02423655,25.02423655,23.60942434,23.2843435,23.2843435,21.01493262,21.01493262,37766068.8372192,28355.5635813649
52,The Waverlies,64,61.45,61.11524164,60.29739777,58.62453532,58.62453532,55.82433941,55.15828678,55.15828678,54.24616536,54.24616536,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,32,31.38,31.53738969,31.12244898,30.37447989,30.37447989,29.82538933,29.35606061,29.35606061,27.67354597,27.67354597,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,46,43.73,42.89855072,42.58789416,41.05149442,41.05149442,40.74341393,40.05055977,40.05055977,39.90576296,39.90576296,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,56,52.61,51.80496953,50.32802249,48.52872489,48.52872489,46.22201493,45.3358209,45.3358209,42.49186425,42.49186425,45494092.9492188,42573.1244161893
